purchase_yearmonth,total_revenue,total_orders,avg_order_value
2017-01,111798.36,750,149.06448
2017-02,234223.4,1653,141.69594676346037
2017-03,359198.85,2546,141.0836017282011
2017-04,340669.68,2303,147.9243074250977
2017-05,489338.25,3546,137.99725042301185
2017-06,421923.37,3135,134.58480701754385
2017-07,481604.52,3872,124.3813326446281
2017-08,554699.7,4193,132.29184354877174
2017-09,607399.67,4150,146.36136626506024
2017-10,648247.65,4478,144.76276239392587
2017-11,987765.37,7289,135.51452462614898
2017-12,726033.1900000001,5513,131.694756031199
2018-01,924645.0,7069,130.80280096194653
2018-02,826437.13,6555,126.0773653699466
2018-03,953356.25,7003,136.13540625446237
2018-04,973534.09,6798,143.2088982053545
2018-05,977544.6900000001,6749,144.84289376203884
2018-06,856077.86,6099,140.36364322020003
2018-07,867953.46,6159,140.9244130540672
2018-08,838576.64,6351,132.03851991812314
